STATE,RATE,DEATHS
AL,21.8,1064
AK,21,155
AZ,15.3,1147
AR,18.9,573
CA,7.5,3040
CO,15.2,889
CT,4.9,186
DE,11.6,107
FL,12.9,2902
GA,15.7,1680
HI,4,59
ID,16.6,294
IL,10.9,1382
IN,14.7,977
IA,8.7,282
KS,14.8,424
KY,16.9,762
LA,21.4,991
ME,10.3,159
MD,11.7,707
MA,3.5,258
MI,12.9,1310
MN,7.8,437
MS,22.9,681
MO,21.5,1311
MT,17.3,186
NE,9,183
NV,17.9,550
NH,10.8,155
NJ,4.8,420
NM,20.7,438
NY,4.1,821
NC,13.3,1416
ND,11.5,89
OH,13.1,1555
OK,16.8,665
OR,11.7,519
PA,12.5,1654
RI,3.3,37
SC,17.6,895
SD,13.6,117
TN,17.8,1228
TX,12.2,3522
UT,13.2,397
VT,12.8,82
VA,11.8,1035
WA,10.4,809
WV,18.2,343
WI,10.1,598
WY,21.5,124